DATAFLOW,LAST UPDATE,freq,incsrc,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,EU15,2001,12546,e
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FI,1996,19132,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FI,1997,21069,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FI,1998,23837,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FI,1999,27718,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FI,2000,24114,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FI,2001,23622,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FR,1995,6878,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FR,1996,8502,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FR,1997,6268,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FR,1998,8949,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FR,1999,10342,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FR,2000,10885,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,FR,2001,11517,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IE,1995,6517,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IE,1996,7964,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IE,1997,8676,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IE,1998,9652,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IE,1999,8850,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IE,2000,7423,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IE,2001,8688,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IT,1995,7169,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IT,1996,6629,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IT,1997,4901,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IT,1998,8480,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IT,1999,11190,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IT,2000,6197,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,IT,2001,6714,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,LU,1997,37534,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,LU,1998,33257,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,LU,1999,35450,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,LU,2000,41051,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,LU,2001,40545,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,NL,1995,9910,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,NL,1996,7622,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,NL,1997,6901,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,NL,1998,9584,
