dates,values,% full,status,Max Storage,country
14/07/2022,156.9108,64.58,C,242.9786,DE
14/07/2022,30.6119,45.22,C,67.7027,HU
14/07/2022,128.237,66.29,C,193.4434,IT
14/07/2022,10.4944,48.14,C,21.8,LV
14/07/2022,82.9851,59.71,C,138.9911,NL
14/07/2022,35.5678,97.69,C,36.4103,PL
14/07/2022,3.7698,100,C,3.57,PT
14/07/2022,16.1868,49.36,C,32.7936,RO
14/07/2022,23.4581,65.08,C,36.0476,SK
14/07/2022,26.073,73.97,C,35.2503,ES
14/07/2022,0.0806,79.5,C,0.1013,SE
14/07/2022,70.7801,21.79,C,324.8627,UA
14/07/2022,702.7019,63.39,C,1108.4791,eu
13/07/2022,46.6247,48.82,C,95.5024,AT
13/07/2022,5.6271,64.67,C,8.701,BE
13/07/2022,2.2627,39,C,5.8025,BG
13/07/2022,1.9091,40,C,4.7725,HR
13/07/2022,32.194,73.55,C,43.7739,CZ
13/07/2022,7.5439,81.73,C,9.23,DK
13/07/2022,91.0061,69.15,C,131.6078,FR
13/07/2022,156.7342,64.53,C,242.8686,DE
13/07/2022,30.3665,44.85,C,67.7027,HU
13/07/2022,127.3422,65.83,C,193.4434,IT
13/07/2022,10.4647,48,C,21.8,LV
13/07/2022,82.3507,59.25,C,138.9911,NL
13/07/2022,35.5345,97.59,C,36.4103,PL
13/07/2022,3.7698,100,C,3.57,PT
13/07/2022,15.985,48.74,C,32.7936,RO
13/07/2022,23.3913,64.89,C,36.0476,SK
13/07/2022,26.0282,73.84,C,35.2503,ES
13/07/2022,0.0806,79.5,C,0.1013,SE
13/07/2022,70.4289,21.66,C,325.1061,UA
13/07/2022,699.2153,63.09,C,1108.3691,eu
12/07/2022,46.4686,48.66,C,95.5024,AT
12/07/2022,5.644,64.87,C,8.701,BE
12/07/2022,2.2301,38.43,C,5.8025,BG
12/07/2022,1.8747,39.28,C,4.7725,HR
12/07/2022,32.0495,73.22,C,43.7739,CZ
12/07/2022,7.5236,81.51,C,9.23,DK
12/07/2022,90.4663,68.74,C,131.6078,FR
12/07/2022,156.7203,64.53,C,242.8686,DE
12/07/2022,30.1264,44.5,C,67.7027,HU
12/07/2022,126.3701,65.33,C,193.4434,IT
12/07/2022,10.4189,47.79,C,21.8,LV
12/07/2022,81.7686,58.83,C,138.9911,NL
12/07/2022,35.5211,97.56,C,36.4103,PL
12/07/2022,3.7698,100,C,3.57,PT
12/07/2022,15.7722,48.1,C,32.7936,RO
12/07/2022,23.3059,64.65,C,36.0476,SK
12/07/2022,25.9797,73.7,C,35.2503,ES
12/07/2022,0.0806,79.5,C,0.1013,SE
12/07/2022,70.1198,21.56,C,325.2122,UA
12/07/2022,696.0903,62.8,C,1108.3691,eu
11/07/2022,46.3148,48.5,C,95.5024,AT
11/07/2022,5.6568,65.01,C,8.701,BE
11/07/2022,2.1974,37.87,C,5.8025,BG
11/07/2022,1.8415,38.59,C,4.7725,HR
11/07/2022,31.8878,72.85,C,43.7739,CZ
11/07/2022,7.4978,81.23,C,9.23,DK
11/07/2022,89.9778,68.37,C,131.6078,FR
11/07/2022,156.8705,64.59,C,242.8686,DE
11/07/2022,29.9052,44.17,C,67.7027,HU
11/07/2022,125.4125,64.83,C,193.4434,IT
11/07/2022,10.375,47.59,C,21.8,LV
11/07/2022,81.2136,58.43,E,138.9911,NL
11/07/2022,35.5095,97.53,C,36.4103,PL
11/07/2022,3.7698,100,C,3.57,PT
11/07/2022,15.5814,47.51,C,32.7936,RO
11/07/2022,23.2283,64.44,C,36.0476,SK
11/07/2022,25.8939,73.46,C,35.2503,ES
11/07/2022,0.0806,79.5,C,0.1013,SE
11/07/2022,69.7547,21.46,C,325.0506,UA
11/07/2022,693.2141,62.54,E,1108.3691,eu
10/07/2022,46.1563,48.33,C,95.5024,AT
10/07/2022,5.6542,64.98,C,8.701,BE
10/07/2022,2.1648,37.31,C,5.8025,BG
10/07/2022,1.8085,37.89,C,4.7725,HR
10/07/2022,31.7437,72.52,C,43.7739,CZ
10/07/2022,7.6341,82.71,C,9.23,DK
10/07/2022,89.7103,68.16,C,131.6078,FR
10/07/2022,156.6693,64.51,C,242.8584,DE
10/07/2022,29.6678,43.82,C,67.7027,HU
10/07/2022,124.5596,64.39,C,193.4434,IT
10/07/2022,10.3438,47.45,C,21.8,LV
10/07/2022,80.7554,58.1,C,138.9911,NL
10/07/2022,35.4667,97.41,C,36.4103,PL
10/07/2022,3.7598,100,C,3.57,PT
10/07/2022,15.4126,47,C,32.7936,RO
10/07/2022,23.1586,64.24,C,36.0476,SK
10/07/2022,25.8197,73.25,C,35.2503,ES
10/07/2022,0.0795,78.43,C,0.1013,SE
10/07/2022,69.407,21.35,C,325.0389,UA
10/07/2022,690.5648,62.31,C,1108.3589,eu
09/07/2022,45.6988,47.85,C,95.5024,AT
09/07/2022,5.6062,64.43,C,8.701,BE
09/07/2022,2.1321,36.74,C,5.8025,BG
09/07/2022,1.7709,37.11,C,4.7725,HR
09/07/2022,31.6588,72.32,C,43.7739,CZ
09/07/2022,7.582,82.15,C,9.23,DK
09/07/2022,88.8825,67.54,C,131.6078,FR
09/07/2022,155.5804,64.06,C,242.8584,DE
09/07/2022,29.3963,43.42,C,67.7027,HU
09/07/2022,123.3609,63.77,C,193.4434,IT
09/07/2022,10.3145,47.31,C,21.8,LV
09/07/2022,80.0651,57.6,C,138.9911,NL
09/07/2022,35.402,97.23,C,36.4103,PL
09/07/2022,3.7598,100,C,3.57,PT
09/07/2022,15.2415,46.48,C,32.7936,RO
09/07/2022,23.0267,63.88,C,36.0476,SK
09/07/2022,25.7733,73.12,C,35.2503,ES
09/07/2022,0.0743,73.31,C,0.1013,SE
09/07/2022,69.0513,21.24,C,325.0389,UA
09/07/2022,685.3261,61.83,C,1108.3589,eu
08/07/2022,45.2288,47.36,C,95.5024,AT
08/07/2022,5.5636,63.94,C,8.701,BE
08/07/2022,2.1039,36.26,C,5.8025,BG
08/07/2022,1.734,36.33,C,4.7725,HR
08/07/2022,31.5164,72,C,43.7739,CZ
08/07/2022,7.5335,81.62,C,9.23,DK
08/07/2022,87.9869,66.86,C,131.6078,FR
08/07/2022,154.573,63.65,C,242.8584,DE
08/07/2022,29.1279,43.02,C,67.7027,HU
